country_of_birth,country_of_destination,education_level,sex,number,Country_origin,origin_Education,origin_Jobs,origin_Income,origin_Safety,origin_Health,origin_Environment,origin_Civic engagement,origin_Accessibility to services,origin_Housing,origin_Community,origin_Life satisfaction,origin_PR rating,origin_CL rating,Country_dest,dest_Education,dest_Jobs,dest_Income,dest_Safety,dest_Health,dest_Environment,dest_Civic engagement,dest_Accessibility to services,dest_Housing,dest_Community,dest_Life satisfaction,dest_PR rating,dest_CL rating,diff_Education,diff_Jobs,diff_Income,diff_Safety,diff_Health,diff_Environment,diff_Civic engagement,diff_Accessibility to services,diff_Housing,diff_Community,diff_Life satisfaction,diff_PR rating,diff_CL rating
AUS,CAN,ISCED 5/6/7/8,Female,47470.0,Australia,0.8222222222222222,0.8293666801129488,0.6040590234138621,0.9761904761904763,0.8988311688311692,0.828125,0.9721039646203746,0.5010688916612327,0.9352517985611508,0.8703703703703706,0.8461538461538464,1.0,1.0,Canada,0.962962962962963,0.7206030657523196,0.5138248847926268,0.9285714285714285,0.7734199134199133,0.9166666666666667,0.7144778126400718,0.8316103314587107,0.8576741476004643,0.8086419753086422,0.8076923076923077,1.0,1.0,0.14074074074074083,-0.1087636143606292,-0.0902341386212353,-0.04761904761904778,-0.12541125541125586,0.08854166666666674,-0.2576261519803028,0.33054143979747797,-0.07757765096068647,-0.061728395061728336,-0.03846153846153866,0.0,0.0
AUS,CAN,ISCED 5/6/7/8,Male,45530.0,Australia,0.8222222222222222,0.8293666801129488,0.6040590234138621,0.9761904761904763,0.8988311688311692,0.828125,0.9721039646203746,0.5010688916612327,0.9352517985611508,0.8703703703703706,0.8461538461538464,1.0,1.0,Canada,0.962962962962963,0.7206030657523196,0.5138248847926268,0.9285714285714285,0.7734199134199133,0.9166666666666667,0.7144778126400718,0.8316103314587107,0.8576741476004643,0.8086419753086422,0.8076923076923077,1.0,1.0,0.14074074074074083,-0.1087636143606292,-0.0902341386212353,-0.04761904761904778,-0.12541125541125586,0.08854166666666674,-0.2576261519803028,0.33054143979747797,-0.07757765096068647,-0.061728395061728336,-0.03846153846153866,0.0,0.0
AUS,CHE,ISCED 5/6/7/8,Female,8459.370063781738,Australia,0.8222222222222222,0.8293666801129488,0.6040590234138621,0.9761904761904763,0.8988311688311692,0.828125,0.9721039646203746,0.5010688916612327,0.9352517985611508,0.8703703703703706,0.8461538461538464,1.0,1.0,Switzerland,0.8703703703703705,0.9020018152480839,1.0,0.9920634920634921,0.8695238095238093,0.78125,0.056795881537817096,0.9758451982994369,0.5755395683453237,0.8827160493827165,0.9615384615384617,1.0,1.0,0.04814814814814827,0.07263513513513509,0.3959409765861379,0.015873015873015817,-0.029307359307359948,-0.046875,-0.9153080830825575,0.47477630663820425,-0.3597122302158271,0.012345679012345956,0.11538461538461531,0.0,0.0
AUS,CHE,ISCED 5/6/7/8,Male,9240.039009094238,Australia,0.8222222222222222,0.8293666801129488,0.6040590234138621,0.9761904761904763,0.8988311688311692,0.828125,0.9721039646203746,0.5010688916612327,0.9352517985611508,0.8703703703703706,0.8461538461538464,1.0,1.0,Switzerland,0.8703703703703705,0.9020018152480839,1.0,0.9920634920634921,0.8695238095238093,0.78125,0.056795881537817096,0.9758451982994369,0.5755395683453237,0.8827160493827165,0.9615384615384617,1.0,1.0,0.04814814814814827,0.07263513513513509,0.3959409765861379,0.015873015873015817,-0.029307359307359948,-0.046875,-0.9153080830825575,0.47477630663820425,-0.3597122302158271,0.012345679012345956,0.11538461538461531,0.0,0.0
AUS,COL,ISCED 5/6/7/8,Female,341.0,Australia,0.8222222222222222,0.8293666801129488,0.6040590234138621,0.9761904761904763,0.8988311688311692,0.828125,0.9721039646203746,0.5010688916612327,0.9352517985611508,0.8703703703703706,0.8461538461538464,1.0,1.0,Colombia,0.3407407407407407,0.09290540540540543,0.09067537122375831,0.32195715810276676,0.4302813852813854,0.5208333333333334,0.3424473330345137,0.12110129335016846,0.07398937989216033,0.3086419753086422,0.3461538461538463,0.7142857142857143,0.7142857142857143,-0.4814814814814815,-0.7364612747075434,-0.5133836521901037,-0.6542333180877096,-0.4685497835497838,-0.30729166666666663,-0.6296566315858609,-0.37996759831106425,-0.8612624186689904,-0.5617283950617284,-0.5,-0.2857142857142857,-0.2857142857142857
AUS,COL,ISCED 5/6/7/8,Male,691.0,Australia,0.8222222222222222,0.8293666801129488,0.6040590234138621,0.9761904761904763,0.8988311688311692,0.828125,0.9721039646203746,0.5010688916612327,0.9352517985611508,0.8703703703703706,0.8461538461538464,1.0,1.0,Colombia,0.3407407407407407,0.09290540540540543,0.09067537122375831,0.32195715810276676,0.4302813852813854,0.5208333333333334,0.3424473330345137,0.12110129335016846,0.07398937989216033,0.3086419753086422,0.3461538461538463,0.7142857142857143,0.7142857142857143,-0.4814814814814815,-0.7364612747075434,-0.5133836521901037,-0.6542333180877096,-0.4685497835497838,-0.30729166666666663,-0.6296566315858609,-0.37996759831106425,-0.8612624186689904,-0.5617283950617284,-0.5,-0.2857142857142857,-0.2857142857142857
AUS,CZE,ISCED 5/6/7/8,Female,406.0,Australia,0.8222222222222222,0.8293666801129488,0.6040590234138621,0.9761904761904763,0.8988311688311692,0.828125,0.9721039646203746,0.5010688916612327,0.9352517985611508,0.8703703703703706,0.8461538461538464,1.0,1.0,Czech Republic,1.0,0.9087837837837839,0.3283759251501187,0.9642857142857142,0.30987012987012996,0.515625,0.3514119229045271,0.5207948390603844,0.3597122302158273,0.820987654320988,0.7307692307692311,1.0,1.0,0.1777777777777778,0.0794171036708351,-0.2756830982637434,-0.011904761904762085,-0.5889610389610392,-0.3125,-0.6206920417158475,0.019725947399151678,-0.5755395683453235,-0.0493827160493826,-0.11538461538461531,0.0,0.0
AUS,CZE,ISCED 5/6/7/8,Male,946.0,Australia,0.8222222222222222,0.8293666801129488,0.6040590234138621,0.9761904761904763,0.8988311688311692,0.828125,0.9721039646203746,0.5010688916612327,0.9352517985611508,0.8703703703703706,0.8461538461538464,1.0,1.0,Czech Republic,1.0,0.9087837837837839,0.3283759251501187,0.9642857142857142,0.30987012987012996,0.515625,0.3514119229045271,0.5207948390603844,0.3597122302158273,0.820987654320988,0.7307692307692311,1.0,1.0,0.1777777777777778,0.0794171036708351,-0.2756830982637434,-0.011904761904762085,-0.5889610389610392,-0.3125,-0.6206920417158475,0.019725947399151678,-0.5755395683453235,-0.0493827160493826,-0.11538461538461531,0.0,0.0
AUS,DNK,ISCED 5/6/7/8,Female,2953.0,Australia,0.8222222222222222,0.8293666801129488,0.6040590234138621,0.9761904761904763,0.8988311688311692,0.828125,0.9721039646203746,0.5010688916612327,0.9352517985611508,0.8703703703703706,0.8461538461538464,1.0,1.0,Denmark,0.772222222222222,0.8415439693424769,0.3902155192477773,0.98015873015873,0.6966017316017312,0.7864583333333334,0.8646346929627973,0.8987298295621537,0.6474820143884891,0.9691358024691358,1.0,1.0,1.0,-0.050000000000000155,0.012177289229528099,-0.21384350416608477,0.003968253968253732,-0.20222943722943798,-0.04166666666666663,-0.10746927165757736,0.39766093790092105,-0.28776978417266175,0.0987654320987652,0.15384615384615363,0.0,0.0
AUS,DNK,ISCED 5/6/7/8,Male,3656.0,Australia,0.8222222222222222,0.8293666801129488,0.6040590234138621,0.9761904761904763,0.8988311688311692,0.828125,0.9721039646203746,0.5010688916612327,0.9352517985611508,0.8703703703703706,0.8461538461538464,1.0,1.0,Denmark,0.772222222222222,0.8415439693424769,0.3902155192477773,0.98015873015873,0.6966017316017312,0.7864583333333334,0.8646346929627973,0.8987298295621537,0.6474820143884891,0.9691358024691358,1.0,1.0,1.0,-0.050000000000000155,0.012177289229528099,-0.21384350416608477,0.003968253968253732,-0.20222943722943798,-0.04166666666666663,-0.10746927165757736,0.39766093790092105,-0.28776978417266175,0.0987654320987652,0.15384615384615363,0.0,0.0
